Stagione,Ortaggio,Valuta/UM,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,PRODUZIONE 2024 in mgl,Semina,Trapianto,Raccolta,Note
Primavera,Asparagi,€/Kg,0.0,3.34,3.03,3.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,100.0,Autunno (settembre-novembre),Primavera (marzo-aprile) del secondo anno,Dal 3° anno,Raccolta limitata nei primi 2 anni
Primavera,Carciofi,€/Capolino,0.61,0.51,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.81,0.73,0.55,370.0,Gennaio-marzo,Aprile,Dal 1° anno,Raccolta continua da aprile a giugno
Inverno,Carote,€/Kg,0.4,0.61,0.59,0.98,0.86,0.85,0.84,0.32,0.36,0.36,0.35,0.35,0.34,0.6,600.0,Marzo-aprile,,90-120 giorni dopo la semina,Crescono meglio in terreni sabbiosi e freschi
Autunno,Cavolfiori,€/Kg,0.56,0.42,0.41,2.25,1.95,1.33,1.0,2.4,1.0,0.6,0.68,0.62,0.51,0.44,300.0,Luglio-agosto,Settembre,90-120 giorni dopo il trapianto,Preferiscono temperature fresche
Inverno,Cavoli,€/Kg,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.73,0.77,0.65,0.65,300,Luglio-agosto,Settembre,90-120 giorni dopo il trapianto,Varietà autunnali e invernali
Primavera,Cipolle,€/Kg,0.0,0.69,0.5,0.76,0.8,1.1,1.14,1.2,0.0,0.0,0.0,0.0,0.0,0.69,500.0,Gennaio-febbraio (diretta o da bulbillo),Marzo-aprile,100-120 giorni dopo il trapianto,Varietà da bulbillo
Estate,Fagiolini,€/Kg,0.0,0.0,0.0,0.75,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,200.0,Maggio-giugno,300,50-60 giorni dopo la semina,Preferiscono temperature calde
Autunno,Finocchi,€/Kg,0.43,0.29,0.3,0.52,1.17,0.53,0.43,1.16,0.94,0.57,0.57,0.45,0.32,0.25,400.0,Aprile-maggio,,90-120 giorni dopo la semina,Preferiscono climi freschi
Primavera,Lattuga,€/Kg,0.81,0.74,0.67,0.6,0.69,0.67,0.86,1.23,1.12,0.85,0.76,0.76,0.75,0.73,350.0,Quasi tutto l’anno,,60-80 giorni dopo la semina,Più adatta al clima fresco
Inverno,Patate,€/Kg,0.75,0.77,0.75,0.73,0.0,0.55,0.57,0.57,0.62,0.63,0.64,0.63,0.66,0.67,960.0,Marzo-aprile,,90-120 giorni dopo la semina,Varietà precoci e tardive disponibili
Estate,Pomodori,€/Kg,1.22,1.43,1.21,0.79,0.5,0.0,0.0,1.62,2.9,2.16,1.29,1.67,1.46,1.45,520.0,Febbraio-marzo,Maggio,70-90 giorni dopo il trapianto,Varietà determinate e indeterminate
Autunno,Radicchio,€/Kg,0.97,1.1,0.0,0.0,0.0,0.0,0.0,1.83,1.41,0.72,0.66,0.89,1.11,1.15,150.0,Maggio-giugno,,90-120 giorni dopo la semina,Varietà autunnali per la raccolta in inverno
Inverno,Sedano,€/Kg,0.56,0.47,0.54,0.6,0.54,0.54,0.68,0.97,0.91,0.75,0.7,0.65,0.53,0.55,80.0,Febbraio-marzo,Aprile,90-120 giorni dopo il trapianto,Richiede irrigazione costante
Estate,Melanzane,€/Kg,0.0,0.0,0.0,0.5,0.44,0.43,0.42,0.68,0.71,0.0,0.0,0.0,0.0,0.0,250.0,Febbraio-marzo,Maggio,70-90 giorni dopo il trapianto,Preferiscono temperature calde
Autunno,Peperoni,€/Kg,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,64.0,Febbraio-marzo,Maggio,80-100 giorni dopo il trapianto,Sensibili al freddo
Estate,Zucchine,€/Kg,0.0,0.0,0.82,0.86,0.73,0.56,0.59,1.2,1.46,0.0,0.0,0.0,0.0,0.0,194.0,Aprile-maggio,,50-60 giorni dopo la semina,Raccolta frequente per stimolare la produzione
